time_fs,T_md_K,T_ww_K,DeltaT_K
21450.0000000000,1236.2135136900,1208.4088084600,27.8047052300
21500.0000000000,1254.7619766200,1198.6147987600,56.1471778600
21550.0000000000,1228.2001326900,1200.5076251800,27.6925075100
21600.0000000000,1234.0304127700,1219.6865875200,14.3438252500
21650.0000000000,1282.2225212000,1243.6860562100,38.5364649900
21700.0000000000,1246.5046918100,1254.8805342700,-8.3758424600
21750.0000000000,1262.0762562000,1277.3756547900,-15.2993985900
21800.0000000000,1249.1505915700,1286.1614160300,-37.0108244600
21850.0000000000,1245.6178524700,1294.3477909800,-48.7299385100
21900.0000000000,1237.8375024800,1276.0965551200,-38.2590526400
21950.0000000000,1227.5098266400,1262.7661243400,-35.2562977000
22000.0000000000,1236.4387314200,1251.9657990700,-15.5270676500
22050.0000000000,1306.0996378900,1243.2212220800,62.8784158100
22100.0000000000,1299.4514429800,1243.7309807400,55.7204622400
22150.0000000000,1269.9674218900,1272.8685411300,-2.9011192400
22200.0000000000,1303.3567373200,1306.6472848400,-3.2905475200
22250.0000000000,1300.9501573300,1339.2764960000,-38.3263386700
22300.0000000000,1274.9674252300,1350.8632325200,-75.8958072900
22350.0000000000,1283.8209562000,1348.5793358700,-64.7583796700
22400.0000000000,1286.4896595900,1324.0035331700,-37.5138735800
22450.0000000000,1291.2837307700,1299.8271203000,-8.5433895300
22500.0000000000,1300.6379558300,1262.8024901500,37.8354656800
22550.0000000000,1280.7183509700,1252.9720368600,27.7463141100
22600.0000000000,1285.8616368200,1252.7832726300,33.0783641900
22650.0000000000,1304.7142820400,1271.2893623300,33.4249197100
22700.0000000000,1284.1768368600,1296.6762182400,-12.4993813800
22750.0000000000,1312.8331778000,1322.5448334500,-9.7116556500
22800.0000000000,1312.0103591600,1339.1393545800,-27.1289954200
